OfficialNameSuburb,Latitude,Longitude,TemperatureMean,TemperatureMax,TemperatureMin,RainSum,RelativeHumidityMean,RelativeHumidityMax,RelativeHumidityMin
Abercrombie,-33.39001637,149.55660150187595,13.375810321643835,19.398150450958905,8.025410848052054,635.2000014,70.80096808219179,90.41140283013699,45.84284389315068
Abercrombie River,-33.91028901,149.34764617728436,16.69490150876712,23.13078075890411,10.89639706049315,491.5000005,62.76696335616438,83.38507090136986,39.783700457534245
Aberdare,-32.84108865,151.38168735892526,19.057928115068492,20.959999999999997,17.077945205479452,691.5000035,73.79971835,85.27925941917809,61.46354101917808
Aberdeen (NSW),-32.17381289,150.89163877588535,17.334200949041097,24.003835616438355,11.894383561643835,668.6000015,67.80838073972602,89.22794731506849,40.95156494383561
Aberdeen (Tas.),-41.24345568,146.32390015312083,12.333771807945205,17.196808306849316,8.194616579150685,857.6000039,76.80187919,93.08500788219179,55.52861223287671
Aberfeldie,-37.75970861,144.89756806741838,14.09390993671233,18.87205511780822,10.183013680821917,803.2000004,74.13733892876712,89.95593009041096,54.235809983561644
Aberfeldy,-37.6997941,146.3785204898876,8.039952182575343,12.671972737260273,4.601698645,1006.200002,81.98791739178083,96.84134745479453,59.25017894794521
Aberfoyle,-30.23630561,151.97863091016166,14.461364184109588,20.88171245753425,9.787739720082191,717.3000036,75.37784831232877,94.86701109863013,46.18916692054794
Aberfoyle Park,-35.07050772,138.60119613530668,14.876408763013698,19.609376673972605,11.311568770684932,1002.600002,71.93505802465754,88.07088969863014,53.52056223287671
Aberglasslyn,-32.69488296,151.53389568210247,16.993983116986303,22.67143157260274,12.094445278575341,481.6999993,61.01623432328767,79.84622289863013,40.647730824657536
Abergowrie,-18.43817703,145.93121720946218,20.339517589041098,25.239506268493148,17.305259893150687,1867.200003,82.49276637,96.80941636164384,57.99518383287671
Abermain,-32.8196762,151.43723514647712,19.057928115068492,20.959999999999997,17.077945205479452,691.5000035,73.79971835,85.27925941917809,61.46354101917808
Abernethy,-32.88756558,151.4022677326242,19.057928115068492,20.959999999999997,17.077945205479452,691.5000035,73.79971835,85.27925941917809,61.46354101917808
Abingdon Downs,-17.7997846,143.4395736,25.555923936986304,31.756945408219178,19.7576304,1277.100004,57.75481706027397,80.21828495342466,36.62517562465754
Abington (NSW),-30.3180635,151.2363899089249,15.48305248630137,22.212698605479453,9.769410965665752,655.6000004,67.70189179726027,90.09922964657535,40.051327367123285
Abington (Qld),-25.21039305,152.3525957693902,21.111884045205482,27.124760610958905,16.86393849972603,829.1000063,71.78926784383562,90.86687320547945,45.22790160273973
Acacia Creek,-28.37613196,152.31904269758115,17.30754366,23.717863126027396,12.305260482191782,533.2000063,71.19343663013699,92.70678067,43.30210699452055
Acacia Gardens,-33.73359016,150.9137716595368,16.695205437260274,22.677808219178083,11.40808219178082,552.3000004,63.51604765205479,82.60502336438356,42.339849553424656
Acacia Hills (NT),-12.74772943,131.1459375030621,27.324646320547945,33.28650613150685,23.05773993,1668.800003,66.94011981,86.73120533972603,41.524987352054794
Acacia Hills (Tas.),-41.28470054,146.3359656785788,12.333771807945205,17.196808306849316,8.194616579150685,857.6000039,76.80187919,93.08500788219179,55.52861223287671
Acacia Ridge,-27.58538161,153.02392747864954,20.345695605479452,26.780096147945205,15.565301430958904,747.5000011,71.16445480821918,90.90099098356164,43.11674838630137
Acheron,-37.26887816,145.69932924493023,13.390185818356164,19.098547695890414,8.638821753063015,1005.200002,77.76418241095891,94.76259490410959,54.368817298630134
Acland,-27.3135377,151.68479822722165,19.737129024657534,26.355342465753427,14.016575342465753,569.8000052,60.839911002739726,86.19210473,34.28766087178082
Acton (ACT),-35.28720177,149.11244780265292,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
Acton (Tas.),-41.07179242,145.89177927375212,14.190365224657535,15.686712328767122,12.724931506849316,812.6000039,77.16037699452055,85.80561177260275,67.32622497534247
Acton Park (Tas.),-42.86986219,147.47936710740743,11.9342662,16.738746761643835,8.187376843279452,585.600003,72.20937702465753,88.62282437260274,51.78284821643836
Acton Park (WA),-33.76284471,115.37500693499858,17.307805003835615,22.944602928767125,12.54953438410959,629.3000015,67.89747201917808,86.22750532876712,46.87839907945206
Ada,-37.84223084,145.85183638224137,14.293717871232877,19.163575010958905,10.480972576778083,1024.800002,77.21820074520548,93.27920998082192,56.23848944657534
Adaminaby,-36.01193159,148.7863204,7.206875568049315,12.286630196054794,3.3622465703726023,888.4000044,78.24660060821918,95.13857485479451,52.793622164383564
Adams Estate,-38.42517956,145.53194997808873,14.891748977808218,18.52371232876712,12.122342742465754,861.400002,74.62822321369863,89.09104327671233,57.05064575342466
Adamstown,-32.93817732,151.72554028534307,13.005704273972603,18.369020437260275,8.599020648761645,636.800001,73.87480850684932,91.65531256164383,50.444785736986304
Adamstown Heights,-32.94877828,151.7108801484357,19.057928115068492,20.959999999999997,17.077945205479452,691.5000035,73.79971835,85.27925941917809,61.46354101917808
Adamsvale,-32.21732817,117.71783724306356,17.67818381068493,24.313999986301372,11.768794534794521,328.89999972000004,58.54913245753424,82.06317374246575,35.58232869
Adare,-27.5126717,152.29537909687056,19.881062894520547,27.207130087671235,14.242198819726026,703.5000013,67.75578474794521,90.53103686575344,38.36354503561644
Adavale,-25.92967126,144.80092599690366,23.87223944109589,30.09953386849315,17.535013698630138,308.8000011,40.25956625342466,59.01591041,24.154127633150686
Addington,-37.39451041,143.66776719785452,12.521236395068492,17.644335639178085,8.274609651739725,609.6000016,75.26223268767123,92.21769826301369,53.595408082191774
Adelaide,-34.92855166,138.60066488821195,16.748169334246573,21.967096117808218,12.493260603561644,686.6,65.97437363287672,83.05466990410959,47.45660851232877
Adelaide Airport,-34.94610873,138.5308052793678,16.748169334246573,21.967096117808218,12.493260603561644,686.6,65.97437363287672,83.05466990410959,47.45660851232877
Adelaide Lead,-37.08154384,143.66839185543972,14.095646946575341,19.88662302191781,8.985938132824659,504.5999995,70.21533283013699,89.83792421369864,47.185753547945204
Adelaide Park,-23.09672499,150.6956941548848,22.586035715068494,26.212445419178085,19.56258241917808,944.4000013,73.16133173150685,87.14995692328768,55.443331682191776
Adelaide River,-13.16785033,131.15578799372744,26.70110061,32.755404208219176,22.0865002,1446.000006,66.7062348,87.13818465479451,41.72274162739726
Adelong,-35.30656131,148.0698001995756,14.944464563835616,20.716684922465753,9.811616418,781.3000022,70.56238807945205,87.78840297260274,49.16885253150684
Adjungbilly,-35.04148828,148.44037306190117,17.844026610958903,23.29614405479452,13.597376998082192,804.3000026,71.45299689589041,88.26759933150684,47.830492413698636
Advancetown,-28.07228428,153.27676871562704,20.196581772602737,25.61901333150685,16.117232778082194,920.400001,72.39805250136986,89.32814555068494,48.56054459178082
Adventure Bay,-43.35136384,147.32542360684602,12.969971334794522,15.613321745205479,10.898116290958905,789.2000043,73.48920874,85.13040707,60.09254574794521
Aeroglen,-16.87682925,145.75667003726846,24.713134087671232,28.070999753424655,22.331958712328767,2561.9000098799997,77.31955464109589,88.43082592876712,60.906747816438354
Afterlee,-28.57309513,152.82379945406254,13.969856059726027,20.03519839835616,8.899993145213699,558.5999982,68.31715681917808,88.90096528219178,42.68967253972603
Agery,-34.14258031,137.70054115031203,16.647144142465756,22.170774191780822,12.329678393150685,426.4000004,65.64997887671232,85.55885661369862,43.72164900684932
Agnes,-38.68179032,146.3880654978697,14.650989915890412,16.891212536986302,12.705048103835617,788.9000036,78.36819945,90.83365014520548,64.15661294246576
Agnes Banks,-33.62243091,150.70241243637992,16.695205437260274,22.677808219178083,11.40808219178082,552.3000004,63.51604765205479,82.60502336438356,42.339849553424656
Agnes Water,-24.22754611,151.89978663299956,21.41831793561644,26.989527934246578,17.050623616986304,966.2000014,73.86386007671233,92.41195641369863,48.71640296164384
Ainslie,-35.26225859,149.14786124335194,13.116248850410958,18.877184809315068,8.371568676123287,671.6999991,74.89299388493151,93.59403526,49.99134690136986
Aintree,-37.71717978,144.66365398402274,14.028633305479453,18.835910775342466,10.099335421643836,674.8000034,73.65296254246576,89.40773513150685,53.74483010547945
Airdmillan,-19.52671068,147.47948801983574,24.17730998630137,28.389199041095893,20.67755510136986,1094.000004,73.67012035890411,89.14403539,53.61343979726027
Airds,-34.08602627,150.83318017839932,15.541172226575341,21.064910921369865,10.54655468120548,498.9000031,66.24947549863013,85.47899296164383,45.15436353150685
Aire Valley,-38.69258688,143.56612785840375,13.003857052328767,15.835677879452053,10.849239570684931,940.700005,76.83504664931506,88.75442243287671,63.12220449863013
Aireys Inlet,-38.43509779,144.09716550367693,12.619070466849315,17.255862802739724,9.053397123978083,631.0000047,78.12605816438356,93.43836290684932,57.34106930136986
Airlie Beach,-20.27226406,148.71690264701203,22.719201528767123,27.702985909589042,19.15599972876712,1518.1999992600001,78.91458904657534,94.89522692328768,54.995411569863016
Airly,-38.03077362,147.09742184134436,14.568196164931505,19.66534204520548,10.4650685,724.5000018,74.92424618356165,91.12168145479453,53.95760880821917
Airport West,-37.72373848,144.88142355478374,14.09390993671233,18.87205511780822,10.183013680821917,803.2000004,74.13733892876712,89.95593009041096,54.235809983561644
Airville,-19.63087278,147.34549810623562,24.05160684109589,29.300122838356163,20.08683534520548,1085.9,72.62965607123289,90.11803816712329,48.72591353972602
Aitkenvale,-19.29953649,146.76968800109356,24.259184624657532,27.92393895342466,21.057089591780823,1256.300004,75.43962743287672,89.88500795068494,57.09345654
Ajana,-27.87722376,114.69078716798036,20.80980044657534,29.175718928767125,14.678458983835618,94.2000013,54.72909734,78.97177449315069,26.79062616191781
Akaroa,-41.29308659,148.33395823460268,13.454966015342468,17.295274197260273,10.327739895890412,758.7000014,73.99759916164383,87.56526571506849,56.02717159726028
Akolele,-36.34805426,150.07596148984643,19.530584424657533,25.466794397260276,14.886246569863014,895.1999998,74.41635580273973,92.94686583835617,48.394941704109584
Alabama Hill,-20.08213526,146.24848224519891,23.67173175068493,29.98672605479452,18.411657534246576,873.6000029,65.99613443561644,89.43330589315069,39.617511398630135
Alawa,-12.37952404,130.87318899204038,27.34557416712329,32.70234994,23.110157339726026,1790.200003,68.92767423561644,88.61850056,45.40303095068493
Alawoona,-34.74588988,140.46588330883404,16.39770314520548,22.695465882191783,11.037109378191781,404.699999,62.710292298630144,83.914666,39.71683761780822
Albacutya,-35.73961828,141.96506001354098,15.753738550136987,21.552671175342464,10.572808041917808,434.9999941,65.54737959178082,86.42711947123287,43.627256463013694
Albanvale,-37.74592668,144.76865086937033,14.028633305479453,18.835910775342466,10.099335421643836,674.8000034,73.65296254246576,89.40773513150685,53.74483010547945
Albany,-35.02598778,117.88380641661976,16.47670658630137,17.738082191780823,15.03945205479452,941.0000041,74.97800577260274,84.72106661643835,65.52711504931507
Albany Creek,-27.35444679,152.96932923454145,20.399365383561644,25.57913694520548,16.19050696657534,806.3000026,71.49371178630138,88.87214764931507,48.209800402739724
Albert,-32.38476877,147.47689860331494,18.517641255068494,25.240506895890412,12.486260047013698,334.8000003,57.42296979,78.83172442465754,35.240364678082194
Albert Park (SA),-34.87622596,138.52168927780193,16.748169334246573,21.967096117808218,12.493260603561644,686.6,65.97437363287672,83.05466990410959,47.45660851232877
Albert Park (Vic.),-37.84514995,144.9609812913343,14.920043283835616,19.235602753424658,11.266561394520549,820.8000015,72.99266107123287,88.82379035,54.614887035616434
Alberta,-24.30333955,149.76715536557464,21.977573812328767,28.649514200000002,16.168966041643838,686.7999996,60.73384740821918,86.08643151232877,34.96432422328767
Alberton (Qld),-27.70784534,153.26919696067404,21.281462495890413,24.52274674,18.436445446849316,800.2000019,69.92636819,84.13910958630137,52.72419411506849
Alberton (SA),-34.85903626,138.5159669,16.748169334246573,21.967096117808218,12.493260603561644,686.6,65.97437363287672,83.05466990410959,47.45660851232877
Alberton (Tas.),-41.31346067,147.79362936209202,10.723389344383563,15.059924833972602,7.426500013753424,1109.000003,82.15128871506849,95.80983327123288,61.41451886
Alberton (Vic.),-38.61894298,146.65641462692824,14.650989915890412,16.891212536986302,12.705048103835617,788.9000036,78.36819945,90.83365014520548,64.15661294246576
Alberton West,-38.60370145,146.57699780989574,14.650989915890412,16.891212536986302,12.705048103835617,788.9000036,78.36819945,90.83365014520548,64.15661294246576
Albinia,-24.43963913,148.39739816044255,21.36289745753425,27.74210957808219,15.698137080547944,737.599999,58.70494085,81.55784003287671,37.217245605479455
Albion (Brisbane - Qld),-27.43289104,153.04386365855564,20.345695605479452,26.780096147945205,15.565301430958904,747.5000011,71.16445480821918,90.90099098356164,43.11674838630137
Albion (Richmond - Qld),-21.32838825,142.60487519478448,25.981107089041096,32.20934966027397,20.16195178082192,539.3999989,40.47710730684932,58.45903985753424,25.397931051232877
Albion (Vic.),-37.77643565,144.81615497089652,14.028633305479453,18.835910775342466,10.099335421643836,674.8000034,73.65296254246576,89.40773513150685,53.74483010547945
Albion Park,-34.58221327,150.7772637345987,17.514687064931508,23.342266961643833,12.199664263013698,431.900001,60.45553591780822,78.72282978082191,40.65609691643836
Albion Park Rail,-34.56181536,150.79485796597916,17.514687064931508,23.342266961643833,12.199664263013698,431.900001,60.45553591780822,78.72282978082191,40.65609691643836
