OfficialNameSuburb,OfficialNameState,Latitude,Longitude,Month,TemperatureMean,TemperatureMax,TemperatureMin,RainSum,RelativeHumidityMean,RelativeHumidityMax,RelativeHumidityMin
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,6,7.0735834466666665,11.091500289999999,4.33150004,51.70000109,86.53905106666666,96.55161893333334,67.0374861
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,7,6.2069974225806455,11.328435861290322,2.678435470967742,20.8000002,86.53851225806451,97.85104851612904,63.79212429032258
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,8,7.879914177419354,13.418758225806453,3.7994031903225807,29.3,83.95692416129032,97.60111777419354,60.36256609677419
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,9,11.570527806666666,18.286499733333336,5.59150008,11.10000008,69.85769183333333,91.34605,42.09230793333334
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,10,13.179040387096775,19.649402838709676,7.310693606451613,36.00000025,62.43682267741935,86.93105596774194,36.103261129032255
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,11,17.299347266666665,23.3248329,11.853167066666666,114.49999960000001,67.78990733333333,92.86585050000001,40.38170623333333
ACT Remainder - Canberra Central,Australian Capital Territory,-35.27465802,149.09616582772003,12,19.22447029032258,25.24295125806452,13.942952,85.09999774,68.19921796774193,90.60592841935484,42.24833358064516
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,1,19.162104354838707,25.694564161290323,13.66230670967742,78.60000004,71.16490493548386,93.47522970967742,43.33974948387097
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,2,18.858002642857144,25.41864257142857,13.156143357142856,12.4000001,66.86870196,91.68425754,39.39557235714285
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,3,17.466338677419355,23.191338225806454,12.675210022580645,88,70.43400538709678,91.40412545,45.92552274193549
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,4,12.477541733333334,17.799833166666666,8.194833536666668,118.30000000000001,79.95271783333332,95.63663706666667,56.1630394
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,5,7.422320135,12.551016548387096,3.612306455,25.900000000000002,84.34826006451613,97.0559769,62.21326212903226
ACT Remainder - Coree,Australian Capital Territory,-35.28632059,148.9083715979342,6,7.0735834466666665,11.091500289999999,4.33150004,51.70000109,86.53905106666666,96.55161893333334,67.0374861
